"LOCATION","Country","INDICATOR","Indicator","MEASURE","Measure","INEQUALITY","Inequality","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"SVK","Slovak Republic","IW_HADI","Household net adjusted disposable income","L","Value","MN","Men","USD","US Dollar","0","Units",,,17503,"E","Estimated value"
"ESP","Spain","IW_HADI","Household net adjusted disposable income","L","Value","MN","Men","USD","US Dollar","0","Units",,,22477,"E","Estimated value"
"SWE","Sweden","IW_HADI","Household net adjusted disposable income","L","Value","MN","Men","USD","US Dollar","0","Units",,,29185,"E","Estimated value"
"CHE","Switzerland","IW_HADI","Household net adjusted disposable income","L","Value","MN","Men","USD","US Dollar","0","Units",,,33491,"E","Estimated value"
"TUR","Turkey","IW_HADI","Household net adjusted disposable income","L","Value","MN","Men","USD","US Dollar","0","Units",,,14095,"E","Estimated value"
"GBR","United Kingdom","IW_HADI","Household net adjusted disposable income","L","Value","MN","Men","USD","US Dollar","0","Units",,,27029,"E","Estimated value"
"USA","United States","IW_HADI","Household net adjusted disposable income","L","Value","MN","Men","USD","US Dollar","0","Units",,,41355,"E","Estimated value"
"BRA","Brazil","IW_HADI","Household net adjusted disposable income","L","Value","MN","Men","USD","US Dollar","0","Units",,,11664,"E","Estimated value"
"CHL","Chile","IW_HADI","Household net adjusted disposable income","L","Value","MN","Men","USD","US Dollar","0","Units",,,14533,"E","Estimated value"
"EST","Estonia","IW_HADI","Household net adjusted disposable income","L","Value","MN","Men","USD","US Dollar","0","Units",,,15167,"E","Estimated value"
"ISR","Israel","IW_HADI","Household net adjusted disposable income","L","Value","MN","Men","USD","US Dollar","0","Units",,,22104,"E","Estimated value"
"RUS","Russia","IW_HADI","Household net adjusted disposable income","L","Value","MN","Men","USD","US Dollar","0","Units",,,19292,"E","Estimated value"
"SVN","Slovenia","IW_HADI","Household net adjusted disposable income","L","Value","MN","Men","USD","US Dollar","0","Units",,,19326,"E","Estimated value"
"AUS","Australia","IW_HADI","Household net adjusted disposable income","L","Value","WMN","Women","USD","US Dollar","0","Units",,,31588,"E","Estimated value"
"AUT","Austria","IW_HADI","Household net adjusted disposable income","L","Value","WMN","Women","USD","US Dollar","0","Units",,,31173,"E","Estimated value"
"BEL","Belgium","IW_HADI","Household net adjusted disposable income","L","Value","WMN","Women","USD","US Dollar","0","Units",,,28307,"E","Estimated value"
"CAN","Canada","IW_HADI","Household net adjusted disposable income","L","Value","WMN","Women","USD","US Dollar","0","Units",,,29365,"E","Estimated value"
"CZE","Czech Republic","IW_HADI","Household net adjusted disposable income","L","Value","WMN","Women","USD","US Dollar","0","Units",,,18404,"E","Estimated value"
"DNK","Denmark","IW_HADI","Household net adjusted disposable income","L","Value","WMN","Women","USD","US Dollar","0","Units",,,26491,"E","Estimated value"
"FIN","Finland","IW_HADI","Household net adjusted disposable income","L","Value","WMN","Women","USD","US Dollar","0","Units",,,27927,"E","Estimated value"
"FRA","France","IW_HADI","Household net adjusted disposable income","L","Value","WMN","Women","USD","US Dollar","0","Units",,,28799,"E","Estimated value"
"DEU","Germany","IW_HADI","Household net adjusted disposable income","L","Value","WMN","Women","USD","US Dollar","0","Units",,,31252,"E","Estimated value"
"GRC","Greece","IW_HADI","Household net adjusted disposable income","L","Value","WMN","Women","USD","US Dollar","0","Units",,,18575,"E","Estimated value"
"HUN","Hungary","IW_HADI","Household net adjusted disposable income","L","Value","WMN","Women","USD","US Dollar","0","Units",,,15442,"E","Estimated value"
"ISL","Iceland","IW_HADI","Household net adjusted disposable income","L","Value","WMN","Women","USD","US Dollar","0","Units",,,23965,"E","Estimated value"
"IRL","Ireland","IW_HADI","Household net adjusted disposable income","L","Value","WMN","Women","USD","US Dollar","0","Units",,,23917,"E","Estimated value"
"ITA","Italy","IW_HADI","Household net adjusted disposable income","L","Value","WMN","Women","USD","US Dollar","0","Units",,,25166,"E","Estimated value"
"JPN","Japan","IW_HADI","Household net adjusted disposable income","L","Value","WMN","Women","USD","US Dollar","0","Units",,,26111,"E","Estimated value"
"KOR","Korea","IW_HADI","Household net adjusted disposable income","L","Value","WMN","Women","USD","US Dollar","0","Units",,,19510,"E","Estimated value"
"LUX","Luxembourg","IW_HADI","Household net adjusted disposable income","L","Value","WMN","Women","USD","US Dollar","0","Units",,,38951,"E","Estimated value"
"MEX","Mexico","IW_HADI","Household net adjusted disposable income","L","Value","WMN","Women","USD","US Dollar","0","Units",,,13085,"E","Estimated value"
"NLD","Netherlands","IW_HADI","Household net adjusted disposable income","L","Value","WMN","Women","USD","US Dollar","0","Units",,,27888,"E","Estimated value"
"NZL","New Zealand","IW_HADI","Household net adjusted disposable income","L","Value","WMN","Women","USD","US Dollar","0","Units",,,23815,"E","Estimated value"
"NOR","Norway","IW_HADI","Household net adjusted disposable income","L","Value","WMN","Women","USD","US Dollar","0","Units",,,33492,"E","Estimated value"
"POL","Poland","IW_HADI","Household net adjusted disposable income","L","Value","WMN","Women","USD","US Dollar","0","Units",,,17852,"E","Estimated value"
"PRT","Portugal","IW_HADI","Household net adjusted disposable income","L","Value","WMN","Women","USD","US Dollar","0","Units",,,20086,"E","Estimated value"
"SVK","Slovak Republic","IW_HADI","Household net adjusted disposable income","L","Value","WMN","Women","USD","US Dollar","0","Units",,,17503,"E","Estimated value"
"ESP","Spain","IW_HADI","Household net adjusted disposable income","L","Value","WMN","Women","USD","US Dollar","0","Units",,,22477,"E","Estimated value"
"SWE","Sweden","IW_HADI","Household net adjusted disposable income","L","Value","WMN","Women","USD","US Dollar","0","Units",,,29185,"E","Estimated value"
"CHE","Switzerland","IW_HADI","Household net adjusted disposable income","L","Value","WMN","Women","USD","US Dollar","0","Units",,,33491,"E","Estimated value"
"TUR","Turkey","IW_HADI","Household net adjusted disposable income","L","Value","WMN","Women","USD","US Dollar","0","Units",,,14095,"E","Estimated value"
"GBR","United Kingdom","IW_HADI","Household net adjusted disposable income","L","Value","WMN","Women","USD","US Dollar","0","Units",,,27029,"E","Estimated value"
"USA","United States","IW_HADI","Household net adjusted disposable income","L","Value","WMN","Women","USD","US Dollar","0","Units",,,41355,"E","Estimated value"
"BRA","Brazil","IW_HADI","Household net adjusted disposable income","L","Value","WMN","Women","USD","US Dollar","0","Units",,,11664,"E","Estimated value"
"CHL","Chile","IW_HADI","Household net adjusted disposable income","L","Value","WMN","Women","USD","US Dollar","0","Units",,,14533,"E","Estimated value"
"EST","Estonia","IW_HADI","Household net adjusted disposable income","L","Value","WMN","Women","USD","US Dollar","0","Units",,,15167,"E","Estimated value"
"ISR","Israel","IW_HADI","Household net adjusted disposable income","L","Value","WMN","Women","USD","US Dollar","0","Units",,,22104,"E","Estimated value"
"RUS","Russia","IW_HADI","Household net adjusted disposable income","L","Value","WMN","Women","USD","US Dollar","0","Units",,,19292,"E","Estimated value"
"SVN","Slovenia","IW_HADI","Household net adjusted disposable income","L","Value","WMN","Women","USD","US Dollar","0","Units",,,19326,"E","Estimated value"
"AUS","Australia","IW_HADI","Household net adjusted disposable income","L","Value","HGH","High","USD","US Dollar","0","Units",,,62627,"E","Estimated value"
"AUT","Austria","IW_HADI","Household net adjusted disposable income","L","Value","HGH","High","USD","US Dollar","0","Units",,,57234,"E","Estimated value"
"BEL","Belgium","IW_HADI","Household net adjusted disposable income","L","Value","HGH","High","USD","US Dollar","0","Units",,,50117,"E","Estimated value"
"CAN","Canada","IW_HADI","Household net adjusted disposable income","L","Value","HGH","High","USD","US Dollar","0","Units",,,57505,"E","Estimated value"
"CZE","Czech Republic","IW_HADI","Household net adjusted disposable income","L","Value","HGH","High","USD","US Dollar","0","Units",,,32707,"E","Estimated value"
"DNK","Denmark","IW_HADI","Household net adjusted disposable income","L","Value","HGH","High","USD","US Dollar","0","Units",,,45982,"E","Estimated value"
"FIN","Finland","IW_HADI","Household net adjusted disposable income","L","Value","HGH","High","USD","US Dollar","0","Units",,,49592,"E","Estimated value"
"FRA","France","IW_HADI","Household net adjusted disposable income","L","Value","HGH","High","USD","US Dollar","0","Units",,,57228,"E","Estimated value"
"DEU","Germany","IW_HADI","Household net adjusted disposable income","L","Value","HGH","High","USD","US Dollar","0","Units",,,59576,"E","Estimated value"
"GRC","Greece","IW_HADI","Household net adjusted disposable income","L","Value","HGH","High","USD","US Dollar","0","Units",,,36851,"E","Estimated value"
"HUN","Hungary","IW_HADI","Household net adjusted disposable income","L","Value","HGH","High","USD","US Dollar","0","Units",,,28707,"E","Estimated value"
"ISL","Iceland","IW_HADI","Household net adjusted disposable income","L","Value","HGH","High","USD","US Dollar","0","Units",,,41615,"E","Estimated value"
"IRL","Ireland","IW_HADI","Household net adjusted disposable income","L","Value","HGH","High","USD","US Dollar","0","Units",,,45580,"E","Estimated value"
"ITA","Italy","IW_HADI","Household net adjusted disposable income","L","Value","HGH","High","USD","US Dollar","0","Units",,,49466,"E","Estimated value"
"JPN","Japan","IW_HADI","Household net adjusted disposable income","L","Value","HGH","High","USD","US Dollar","0","Units",,,52240,"E","Estimated value"
"KOR","Korea","IW_HADI","Household net adjusted disposable income","L","Value","HGH","High","USD","US Dollar","0","Units",,,38799,"E","Estimated value"
"LUX","Luxembourg","IW_HADI","Household net adjusted disposable income","L","Value","HGH","High","USD","US Dollar","0","Units",,,71014,"E","Estimated value"
"MEX","Mexico","IW_HADI","Household net adjusted disposable income","L","Value","HGH","High","USD","US Dollar","0","Units",,,34624,"E","Estimated value"
"NLD","Netherlands","IW_HADI","Household net adjusted disposable income","L","Value","HGH","High","USD","US Dollar","0","Units",,,51331,"E","Estimated value"
"NZL","New Zealand","IW_HADI","Household net adjusted disposable income","L","Value","HGH","High","USD","US Dollar","0","Units",,,47713,"E","Estimated value"
"NOR","Norway","IW_HADI","Household net adjusted disposable income","L","Value","HGH","High","USD","US Dollar","0","Units",,,57453,"E","Estimated value"
"POL","Poland","IW_HADI","Household net adjusted disposable income","L","Value","HGH","High","USD","US Dollar","0","Units",,,34268,"E","Estimated value"
"PRT","Portugal","IW_HADI","Household net adjusted disposable income","L","Value","HGH","High","USD","US Dollar","0","Units",,,41983,"E","Estimated value"
"SVK","Slovak Republic","IW_HADI","Household net adjusted disposable income","L","Value","HGH","High","USD","US Dollar","0","Units",,,30702,"E","Estimated value"
"ESP","Spain","IW_HADI","Household net adjusted disposable income","L","Value","HGH","High","USD","US Dollar","0","Units",,,45462,"E","Estimated value"
"SWE","Sweden","IW_HADI","Household net adjusted disposable income","L","Value","HGH","High","USD","US Dollar","0","Units",,,52440,"E","Estimated value"
"CHE","Switzerland","IW_HADI","Household net adjusted disposable income","L","Value","HGH","High","USD","US Dollar","0","Units",,,62677,"E","Estimated value"
"TUR","Turkey","IW_HADI","Household net adjusted disposable income","L","Value","HGH","High","USD","US Dollar","0","Units",,,33398,"E","Estimated value"
"GBR","United Kingdom","IW_HADI","Household net adjusted disposable income","L","Value","HGH","High","USD","US Dollar","0","Units",,,57010,"E","Estimated value"
"USA","United States","IW_HADI","Household net adjusted disposable income","L","Value","HGH","High","USD","US Dollar","0","Units",,,91638,"E","Estimated value"
"BRA","Brazil","IW_HADI","Household net adjusted disposable income","L","Value","HGH","High","USD","US Dollar","0","Units",,,32395,"E","Estimated value"
"CHL","Chile","IW_HADI","Household net adjusted disposable income","L","Value","HGH","High","USD","US Dollar","0","Units",,,40995,"E","Estimated value"
"EST","Estonia","IW_HADI","Household net adjusted disposable income","L","Value","HGH","High","USD","US Dollar","0","Units",,,29823,"E","Estimated value"
"ISR","Israel","IW_HADI","Household net adjusted disposable income","L","Value","HGH","High","USD","US Dollar","0","Units",,,46508,"E","Estimated value"
"RUS","Russia","IW_HADI","Household net adjusted disposable income","L","Value","HGH","High","USD","US Dollar","0","Units",,,44776,"E","Estimated value"
"SVN","Slovenia","IW_HADI","Household net adjusted disposable income","L","Value","HGH","High","USD","US Dollar","0","Units",,,32628,"E","Estimated value"
"OECD","OECD - Total","IW_HADI","Household net adjusted disposable income","L","Value","HGH","High","USD","US Dollar","0","Units",,,54313,"E","Estimated value"
"AUS","Australia","IW_HADI","Household net adjusted disposable income","L","Value","LW","Low","USD","US Dollar","0","Units",,,11537,"E","Estimated value"
"AUT","Austria","IW_HADI","Household net adjusted disposable income","L","Value","LW","Low","USD","US Dollar","0","Units",,,13141,"E","Estimated value"
"BEL","Belgium","IW_HADI","Household net adjusted disposable income","L","Value","LW","Low","USD","US Dollar","0","Units",,,12452,"E","Estimated value"
"CAN","Canada","IW_HADI","Household net adjusted disposable income","L","Value","LW","Low","USD","US Dollar","0","Units",,,11116,"E","Estimated value"
"CZE","Czech Republic","IW_HADI","Household net adjusted disposable income","L","Value","LW","Low","USD","US Dollar","0","Units",,,8954,"E","Estimated value"
"DNK","Denmark","IW_HADI","Household net adjusted disposable income","L","Value","LW","Low","USD","US Dollar","0","Units",,,12805,"E","Estimated value"
"FIN","Finland","IW_HADI","Household net adjusted disposable income","L","Value","LW","Low","USD","US Dollar","0","Units",,,13253,"E","Estimated value"
"FRA","France","IW_HADI","Household net adjusted disposable income","L","Value","LW","Low","USD","US Dollar","0","Units",,,12267,"E","Estimated value"
"DEU","Germany","IW_HADI","Household net adjusted disposable income","L","Value","LW","Low","USD","US Dollar","0","Units",,,13444,"E","Estimated value"
"GRC","Greece","IW_HADI","Household net adjusted disposable income","L","Value","LW","Low","USD","US Dollar","0","Units",,,5860,"E","Estimated value"
"HUN","Hungary","IW_HADI","Household net adjusted disposable income","L","Value","LW","Low","USD","US Dollar","0","Units",,,6335,"E","Estimated value"
"ISL","Iceland","IW_HADI","Household net adjusted disposable income","L","Value","LW","Low","USD","US Dollar","0","Units",,,11616,"E","Estimated value"
"IRL","Ireland","IW_HADI","Household net adjusted disposable income","L","Value","LW","Low","USD","US Dollar","0","Units",,,9755,"E","Estimated value"
"ITA","Italy","IW_HADI","Household net adjusted disposable income","L","Value","LW","Low","USD","US Dollar","0","Units",,,8903,"E","Estimated value"
"JPN","Japan","IW_HADI","Household net adjusted disposable income","L","Value","LW","Low","USD","US Dollar","0","Units",,,8442,"E","Estimated value"
"KOR","Korea","IW_HADI","Household net adjusted disposable income","L","Value","LW","Low","USD","US Dollar","0","Units",,,7004,"E","Estimated value"
"LUX","Luxembourg","IW_HADI","Household net adjusted disposable income","L","Value","LW","Low","USD","US Dollar","0","Units",,,17543,"E","Estimated value"
"MEX","Mexico","IW_HADI","Household net adjusted disposable income","L","Value","LW","Low","USD","US Dollar","0","Units",,,2534,"E","Estimated value"
"NLD","Netherlands","IW_HADI","Household net adjusted disposable income","L","Value","LW","Low","USD","US Dollar","0","Units",,,12388,"E","Estimated value"
"NZL","New Zealand","IW_HADI","Household net adjusted disposable income","L","Value","LW","Low","USD","US Dollar","0","Units",,,9197,"E","Estimated value"
"NOR","Norway","IW_HADI","Household net adjusted disposable income","L","Value","LW","Low","USD","US Dollar","0","Units",,,15420,"E","Estimated value"
"POL","Poland","IW_HADI","Household net adjusted disposable income","L","Value","LW","Low","USD","US Dollar","0","Units",,,7086,"E","Estimated value"
"PRT","Portugal","IW_HADI","Household net adjusted disposable income","L","Value","LW","Low","USD","US Dollar","0","Units",,,7254,"E","Estimated value"
"SVK","Slovak Republic","IW_HADI","Household net adjusted disposable income","L","Value","LW","Low","USD","US Dollar","0","Units",,,7902,"E","Estimated value"
"ESP","Spain","IW_HADI","Household net adjusted disposable income","L","Value","LW","Low","USD","US Dollar","0","Units",,,6791,"E","Estimated value"
"SWE","Sweden","IW_HADI","Household net adjusted disposable income","L","Value","LW","Low","USD","US Dollar","0","Units",,,12652,"E","Estimated value"
"CHE","Switzerland","IW_HADI","Household net adjusted disposable income","L","Value","LW","Low","USD","US Dollar","0","Units",,,14167,"E","Estimated value"
"TUR","Turkey","IW_HADI","Household net adjusted disposable income","L","Value","LW","Low","USD","US Dollar","0","Units",,,3976,"E","Estimated value"
"GBR","United Kingdom","IW_HADI","Household net adjusted disposable income","L","Value","LW","Low","USD","US Dollar","0","Units",,,10195,"E","Estimated value"
"USA","United States","IW_HADI","Household net adjusted disposable income","L","Value","LW","Low","USD","US Dollar","0","Units",,,11194,"E","Estimated value"
"BRA","Brazil","IW_HADI","Household net adjusted disposable income","L","Value","LW","Low","USD","US Dollar","0","Units",,,2383,"E","Estimated value"
"CHL","Chile","IW_HADI","Household net adjusted disposable income","L","Value","LW","Low","USD","US Dollar","0","Units",,,3149,"E","Estimated value"
"EST","Estonia","IW_HADI","Household net adjusted disposable income","L","Value","LW","Low","USD","US Dollar","0","Units",,,5479,"E","Estimated value"
"ISR","Israel","IW_HADI","Household net adjusted disposable income","L","Value","LW","Low","USD","US Dollar","0","Units",,,6260,"E","Estimated value"
"RUS","Russia","IW_HADI","Household net adjusted disposable income","L","Value","LW","Low","USD","US Dollar","0","Units",,,5900,"E","Estimated value"
"SVN","Slovenia","IW_HADI","Household net adjusted disposable income","L","Value","LW","Low","USD","US Dollar","0","Units",,,9035,"E","Estimated value"
"OECD","OECD - Total","IW_HADI","Household net adjusted disposable income","L","Value","LW","Low","USD","US Dollar","0","Units",,,8496,"E","Estimated value"
"AUS","Australia","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,47657,,
"AUT","Austria","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,49887,,
"BEL","Belgium","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,83876,,
"CAN","Canada","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,67913,,
"CZE","Czech Republic","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,17299,,
"DNK","Denmark","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,44488,,
"FIN","Finland","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,18761,,
"FRA","France","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,48741,,
"DEU","Germany","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,50394,,
"GRC","Greece","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,14579,,
"HUN","Hungary","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,13277,,
"ISL","Iceland","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,43045,,
"IRL","Ireland","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,31580,,
"ITA","Italy","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,54987,,
"JPN","Japan","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,86764,,
"KOR","Korea","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,29091,,
"LUX","Luxembourg","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,61765,,
"MEX","Mexico","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,9056,"E","Estimated value"
"NLD","Netherlands","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,77961,,
"NZL","New Zealand","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,28290,"E","Estimated value"
"NOR","Norway","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,8797,,
"POL","Poland","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,10919,,
"PRT","Portugal","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,31245,,
"SVK","Slovak Republic","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,8663,,
"ESP","Spain","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,24774,,
"SWE","Sweden","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,60328,,
"CHE","Switzerland","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,108823,,
"TUR","Turkey","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,3251,"E","Estimated value"
"GBR","United Kingdom","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,60778,,
"USA","United States","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,145769,,
"BRA","Brazil","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,6844,"E","Estimated value"
"CHL","Chile","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,17733,,
"EST","Estonia","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,7680,,
"ISR","Israel","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,52933,,
"RUS","Russia","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,3412,"E","Estimated value"
"SVN","Slovenia","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,18465,,
"OECD","OECD - Total","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,67139,,
"AUS","Australia","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,47657,"E","Estimated value"
"AUT","Austria","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,49887,"E","Estimated value"
"BEL","Belgium","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,83876,"E","Estimated value"
"CAN","Canada","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,67913,"E","Estimated value"
"CZE","Czech Republic","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,17299,"E","Estimated value"
"DNK","Denmark","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,44488,"E","Estimated value"
"FIN","Finland","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,18761,"E","Estimated value"
"FRA","France","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,48741,"E","Estimated value"
"DEU","Germany","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,50394,"E","Estimated value"
"GRC","Greece","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,14579,"E","Estimated value"
"HUN","Hungary","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,13277,"E","Estimated value"
"ISL","Iceland","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,43045,"E","Estimated value"
"IRL","Ireland","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,31580,"E","Estimated value"
"ITA","Italy","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,54987,"E","Estimated value"
"JPN","Japan","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,86764,"E","Estimated value"
"KOR","Korea","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,29091,"E","Estimated value"
"LUX","Luxembourg","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,61765,"E","Estimated value"
"MEX","Mexico","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,9056,"E","Estimated value"
"NLD","Netherlands","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,77961,"E","Estimated value"
"NZL","New Zealand","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,28290,"E","Estimated value"
"NOR","Norway","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,8797,"E","Estimated value"
"POL","Poland","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,10919,"E","Estimated value"
"PRT","Portugal","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,31245,"E","Estimated value"
"SVK","Slovak Republic","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,8663,"E","Estimated value"
"ESP","Spain","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,24774,"E","Estimated value"
"SWE","Sweden","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,60328,"E","Estimated value"
"CHE","Switzerland","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,108823,"E","Estimated value"
"TUR","Turkey","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,3251,"E","Estimated value"
"GBR","United Kingdom","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,60778,"E","Estimated value"
"USA","United States","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,145769,"E","Estimated value"
"BRA","Brazil","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,6844,"E","Estimated value"
"CHL","Chile","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,17733,"E","Estimated value"
"EST","Estonia","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,7680,"E","Estimated value"
"ISR","Israel","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,52933,"E","Estimated value"
"RUS","Russia","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,3412,"E","Estimated value"
"SVN","Slovenia","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,18465,"E","Estimated value"
"AUS","Australia","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,47657,"E","Estimated value"
"AUT","Austria","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,49887,"E","Estimated value"
"BEL","Belgium","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,83876,"E","Estimated value"
"CAN","Canada","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,67913,"E","Estimated value"
"CZE","Czech Republic","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,17299,"E","Estimated value"
"DNK","Denmark","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,44488,"E","Estimated value"
"FIN","Finland","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,18761,"E","Estimated value"
"FRA","France","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,48741,"E","Estimated value"
"DEU","Germany","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,50394,"E","Estimated value"
"GRC","Greece","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,14579,"E","Estimated value"
"HUN","Hungary","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,13277,"E","Estimated value"
